week,sku,units_received,expected_date,actual_date
2026-W12,MRL-CB-TAN,223,2026-03-16,2026-03-16
2026-W14,MRL-CB-TAN,186,2026-03-30,2026-03-30
2026-W16,MRL-CB-TAN,167,2026-04-13,2026-04-13
2026-W18,MRL-CB-TAN,204,2026-04-27,2026-04-27
2026-W20,MRL-CB-TAN,176,2026-05-11,2026-05-11
2026-W22,MRL-CB-TAN,205,2026-05-25,2026-05-25
2026-W24,MRL-CB-TAN,253,2026-06-08,2026-06-08
2026-W26,MRL-CB-TAN,273,2026-06-22,2026-06-22
2026-W12,MRL-CB-BLK,678,2026-03-16,2026-03-16
2026-W17,MRL-CB-BLK,579,2026-04-20,2026-04-20
2026-W22,MRL-CB-BLK,659,2026-05-25,2026-05-25
2026-W26,MRL-CB-BLK,696,2026-06-22,2026-06-22
2026-W31,MRL-CB-BLK,630,2026-07-27,2026-07-27
2026-W11,MRL-CB-CRM,393,2026-03-09,2026-03-09
2026-W17,MRL-CB-CRM,422,2026-04-20,2026-04-20
2026-W22,MRL-CB-CRM,429,2026-05-25,2026-05-25
2026-W27,MRL-CB-CRM,435,2026-06-29,2026-06-29
2026-W12,MRL-CB-OLV,234,2026-03-16,2026-03-16
2026-W17,MRL-CB-OLV,206,2026-04-20,2026-04-20
2026-W22,MRL-CB-OLV,230,2026-05-25,2026-05-25
2026-W26,MRL-CB-OLV,201,2026-06-22,2026-06-22
2026-W31,MRL-CB-OLV,231,2026-07-27,2026-07-27
2026-W12,SIE-TT-BLK,387,2026-03-16,2026-03-16
2026-W17,SIE-TT-BLK,342,2026-04-20,2026-04-20
2026-W22,SIE-TT-BLK,386,2026-05-25,2026-05-25
2026-W26,SIE-TT-BLK,410,2026-06-22,2026-06-22
2026-W31,SIE-TT-BLK,348,2026-07-27,2026-07-27
2026-W11,SIE-TT-TAN,279,2026-03-09,2026-03-09
2026-W16,SIE-TT-TAN,244,2026-04-13,2026-04-13
2026-W21,SIE-TT-TAN,278,2026-05-18,2026-05-18
2026-W25,SIE-TT-TAN,246,2026-06-15,2026-06-15
2026-W29,SIE-TT-TAN,244,2026-07-13,2026-07-13
2026-W12,SIE-TT-NVY,208,2026-03-16,2026-03-16
2026-W17,SIE-TT-NVY,181,2026-04-20,2026-04-20
2026-W22,SIE-TT-NVY,210,2026-05-25,2026-05-25
2026-W27,SIE-TT-NVY,224,2026-06-29,2026-06-29
2026-W11,PIP-CL-BLK,221,2026-03-09,2026-03-09
2026-W17,PIP-CL-BLK,238,2026-04-20,2026-04-20
