week,sku,units_returned,reason
2026-W09,MRL-CB-TAN,8,colour differs
2026-W10,MRL-CB-TAN,9,colour differs
2026-W13,MRL-CB-TAN,8,changed mind
2026-W16,MRL-CB-TAN,7,changed mind
2026-W17,MRL-CB-TAN,6,changed mind
2026-W25,MRL-CB-TAN,8,changed mind
2026-W26,MRL-CB-TAN,8,changed mind
2026-W28,MRL-CB-TAN,5,changed mind
2026-W09,MRL-CB-BLK,8,colour differs
2026-W10,MRL-CB-BLK,11,changed mind
2026-W11,MRL-CB-BLK,11,changed mind
2026-W13,MRL-CB-BLK,11,changed mind
2026-W14,MRL-CB-BLK,11,colour differs
2026-W15,MRL-CB-BLK,10,changed mind
2026-W16,MRL-CB-BLK,10,changed mind
2026-W17,MRL-CB-BLK,12,changed mind
2026-W18,MRL-CB-BLK,6,colour differs
2026-W23,MRL-CB-BLK,12,changed mind
2026-W25,MRL-CB-BLK,9,colour differs
2026-W26,MRL-CB-BLK,11,changed mind
2026-W28,MRL-CB-BLK,6,changed mind
2026-W30,MRL-CB-BLK,6,changed mind
2026-W06,MRL-CB-CRM,6,changed mind
2026-W07,MRL-CB-CRM,5,changed mind
2026-W09,MRL-CB-CRM,5,changed mind
2026-W10,MRL-CB-CRM,7,colour differs
2026-W11,MRL-CB-CRM,6,colour differs
2026-W12,MRL-CB-CRM,6,colour differs
2026-W15,MRL-CB-CRM,7,colour differs
2026-W16,MRL-CB-CRM,5,changed mind
2026-W20,MRL-CB-CRM,6,changed mind
2026-W21,MRL-CB-CRM,6,colour differs
2026-W22,MRL-CB-CRM,4,colour differs
2026-W23,MRL-CB-CRM,4,colour differs
2026-W24,MRL-CB-CRM,5,colour differs
2026-W25,MRL-CB-CRM,8,changed mind
2026-W26,MRL-CB-CRM,6,changed mind
2026-W27,MRL-CB-CRM,6,colour differs
2026-W29,MRL-CB-CRM,5,changed mind
2026-W30,MRL-CB-CRM,5,changed mind
2026-W08,MRL-CB-OLV,4,colour differs
2026-W09,MRL-CB-OLV,2,colour differs
2026-W12,MRL-CB-OLV,4,colour differs
2026-W15,MRL-CB-OLV,2,changed mind
2026-W16,MRL-CB-OLV,3,colour differs
2026-W19,MRL-CB-OLV,3,changed mind
2026-W20,MRL-CB-OLV,4,changed mind
2026-W23,MRL-CB-OLV,4,colour differs
2026-W24,MRL-CB-OLV,4,changed mind
2026-W30,MRL-CB-OLV,2,colour differs
2026-W31,MRL-CB-OLV,3,changed mind
2026-W07,SIE-TT-BLK,4,changed mind
2026-W11,SIE-TT-BLK,6,colour differs
2026-W14,SIE-TT-BLK,5,colour differs
2026-W15,SIE-TT-BLK,6,colour differs
2026-W16,SIE-TT-BLK,6,colour differs
2026-W19,SIE-TT-BLK,6,colour differs
2026-W20,SIE-TT-BLK,7,colour differs
2026-W22,SIE-TT-BLK,7,colour differs
2026-W23,SIE-TT-BLK,8,changed mind
2026-W25,SIE-TT-BLK,9,changed mind
2026-W27,SIE-TT-BLK,3,colour differs
2026-W28,SIE-TT-BLK,4,changed mind
2026-W29,SIE-TT-BLK,4,changed mind
2026-W30,SIE-TT-BLK,4,changed mind
2026-W06,SIE-TT-TAN,3,colour differs
2026-W10,SIE-TT-TAN,5,changed mind
2026-W12,SIE-TT-TAN,5,colour differs
2026-W16,SIE-TT-TAN,5,changed mind
2026-W17,SIE-TT-TAN,3,colour differs
2026-W19,SIE-TT-TAN,5,changed mind
2026-W23,SIE-TT-TAN,5,colour differs
2026-W24,SIE-TT-TAN,4,changed mind
2026-W26,SIE-TT-TAN,5,changed mind
2026-W31,SIE-TT-TAN,4,colour differs
2026-W06,SIE-TT-NVY,3,changed mind
2026-W07,SIE-TT-NVY,3,colour differs
2026-W08,SIE-TT-NVY,4,changed mind
2026-W09,SIE-TT-NVY,2,changed mind
2026-W10,SIE-TT-NVY,3,colour differs
2026-W11,SIE-TT-NVY,3,changed mind
2026-W12,SIE-TT-NVY,3,colour differs
2026-W13,SIE-TT-NVY,2,changed mind
2026-W14,SIE-TT-NVY,3,colour differs
2026-W15,SIE-TT-NVY,3,changed mind
2026-W16,SIE-TT-NVY,2,changed mind
2026-W17,SIE-TT-NVY,3,changed mind
2026-W18,SIE-TT-NVY,3,changed mind
2026-W19,SIE-TT-NVY,3,changed mind
2026-W20,SIE-TT-NVY,2,changed mind
2026-W21,SIE-TT-NVY,3,colour differs
2026-W22,SIE-TT-NVY,3,changed mind
2026-W23,SIE-TT-NVY,4,changed mind
2026-W24,SIE-TT-NVY,11,strap fault
2026-W25,SIE-TT-NVY,13,strap fault
2026-W26,SIE-TT-NVY,11,strap fault
2026-W27,SIE-TT-NVY,14,strap fault
2026-W28,SIE-TT-NVY,10,strap fault
2026-W29,SIE-TT-NVY,15,strap fault
2026-W30,SIE-TT-NVY,12,strap fault
2026-W31,SIE-TT-NVY,13,strap fault
2026-W08,PIP-CL-BLK,4,changed mind
2026-W09,PIP-CL-BLK,3,changed mind
2026-W10,PIP-CL-BLK,3,changed mind
2026-W11,PIP-CL-BLK,3,changed mind
2026-W16,PIP-CL-BLK,4,changed mind
2026-W22,PIP-CL-BLK,4,changed mind
2026-W26,PIP-CL-BLK,3,changed mind
2026-W29,PIP-CL-BLK,3,colour differs
2026-W10,PIP-CL-GLD,2,colour differs
2026-W16,PIP-CL-GLD,1,colour differs
2026-W18,PIP-CL-GLD,2,changed mind
2026-W20,PIP-CL-GLD,2,colour differs
2026-W22,PIP-CL-GLD,2,changed mind
2026-W23,PIP-CL-GLD,2,changed mind
2026-W24,PIP-CL-GLD,2,changed mind
2026-W27,PIP-CL-GLD,2,changed mind
2026-W29,PIP-CL-GLD,2,changed mind
2026-W31,PIP-CL-GLD,2,changed mind
2026-W06,AST-BP-BLK,4,changed mind
2026-W07,AST-BP-BLK,4,colour differs
2026-W08,AST-BP-BLK,5,changed mind
2026-W09,AST-BP-BLK,6,changed mind
2026-W11,AST-BP-BLK,4,changed mind
2026-W12,AST-BP-BLK,4,changed mind
2026-W14,AST-BP-BLK,4,colour differs
2026-W15,AST-BP-BLK,5,changed mind
2026-W19,AST-BP-BLK,5,changed mind
2026-W20,AST-BP-BLK,4,changed mind
2026-W22,AST-BP-BLK,6,colour differs
2026-W26,AST-BP-BLK,5,changed mind
2026-W27,AST-BP-BLK,5,changed mind
2026-W28,AST-BP-BLK,4,changed mind
2026-W29,AST-BP-BLK,5,changed mind
2026-W06,AST-BP-GRY,3,colour differs
2026-W07,AST-BP-GRY,2,changed mind
2026-W08,AST-BP-GRY,2,changed mind
2026-W09,AST-BP-GRY,2,changed mind
2026-W13,AST-BP-GRY,2,changed mind
2026-W15,AST-BP-GRY,3,changed mind
2026-W17,AST-BP-GRY,2,changed mind
2026-W19,AST-BP-GRY,3,colour differs
2026-W20,AST-BP-GRY,3,changed mind
2026-W21,AST-BP-GRY,3,changed mind
2026-W22,AST-BP-GRY,2,changed mind
2026-W24,AST-BP-GRY,3,colour differs
2026-W28,AST-BP-GRY,2,colour differs
2026-W08,JUN-BK-TAN,3,changed mind
2026-W09,JUN-BK-TAN,4,changed mind
2026-W10,JUN-BK-TAN,3,colour differs
2026-W14,JUN-BK-TAN,3,colour differs
2026-W16,JUN-BK-TAN,3,colour differs
2026-W19,JUN-BK-TAN,3,changed mind
2026-W21,JUN-BK-TAN,5,changed mind
2026-W26,JUN-BK-TAN,5,changed mind
2026-W27,JUN-BK-TAN,4,colour differs
2026-W29,JUN-BK-TAN,2,colour differs
2026-W08,JUN-BK-BLK,3,colour differs
2026-W12,JUN-BK-BLK,4,changed mind
2026-W14,JUN-BK-BLK,4,colour differs
2026-W15,JUN-BK-BLK,3,changed mind
2026-W17,JUN-BK-BLK,3,changed mind
