week,sku,channel,units,revenue,discount_pct
2026-W06,MRL-CB-TAN,store,53,16430.0,0.0
2026-W06,MRL-CB-TAN,ecom,34,10540.0,0.0
2026-W07,MRL-CB-TAN,store,51,15810.0,0.0
2026-W07,MRL-CB-TAN,ecom,37,11470.0,0.0
2026-W08,MRL-CB-TAN,store,58,17980.0,0.0
2026-W08,MRL-CB-TAN,ecom,43,13330.0,0.0
2026-W09,MRL-CB-TAN,store,58,17980.0,0.0
2026-W09,MRL-CB-TAN,ecom,47,14570.0,0.0
2026-W10,MRL-CB-TAN,store,63,19530.0,0.0
2026-W10,MRL-CB-TAN,ecom,41,12710.0,0.0
2026-W11,MRL-CB-TAN,store,50,15500.0,0.0
2026-W11,MRL-CB-TAN,ecom,36,11160.0,0.0
2026-W12,MRL-CB-TAN,store,59,18290.0,0.0
2026-W12,MRL-CB-TAN,ecom,45,13950.0,0.0
2026-W13,MRL-CB-TAN,store,56,17360.0,0.0
2026-W13,MRL-CB-TAN,ecom,42,13020.0,0.0
2026-W14,MRL-CB-TAN,store,50,15500.0,0.0
2026-W14,MRL-CB-TAN,ecom,38,11780.0,0.0
2026-W15,MRL-CB-TAN,store,53,16430.0,0.0
2026-W15,MRL-CB-TAN,ecom,42,13020.0,0.0
2026-W16,MRL-CB-TAN,store,50,15500.0,0.0
2026-W16,MRL-CB-TAN,ecom,40,12400.0,0.0
2026-W17,MRL-CB-TAN,store,55,17050.0,0.0
2026-W17,MRL-CB-TAN,ecom,40,12400.0,0.0
2026-W18,MRL-CB-TAN,store,58,17980.0,0.0
2026-W18,MRL-CB-TAN,ecom,42,13020.0,0.0
2026-W19,MRL-CB-TAN,store,56,17360.0,0.0
2026-W19,MRL-CB-TAN,ecom,39,12090.0,0.0
2026-W20,MRL-CB-TAN,store,52,16120.0,0.0
2026-W20,MRL-CB-TAN,ecom,39,12090.0,0.0
2026-W21,MRL-CB-TAN,store,81,20088.0,0.2
2026-W21,MRL-CB-TAN,ecom,64,15872.0,0.2
2026-W22,MRL-CB-TAN,store,72,17856.0,0.2
2026-W22,MRL-CB-TAN,ecom,55,13640.0,0.2
2026-W23,MRL-CB-TAN,store,68,16864.0,0.2
2026-W23,MRL-CB-TAN,ecom,55,13640.0,0.2
2026-W24,MRL-CB-TAN,store,76,18848.0,0.2
2026-W24,MRL-CB-TAN,ecom,55,13640.0,0.2
2026-W25,MRL-CB-TAN,store,74,18352.0,0.2
2026-W25,MRL-CB-TAN,ecom,52,12896.0,0.2
2026-W26,MRL-CB-TAN,store,68,16864.0,0.2
2026-W26,MRL-CB-TAN,ecom,55,13640.0,0.2
2026-W27,MRL-CB-TAN,store,42,13020.0,0.0
2026-W27,MRL-CB-TAN,ecom,28,8680.0,0.0
2026-W28,MRL-CB-TAN,store,44,13640.0,0.0
2026-W28,MRL-CB-TAN,ecom,33,10230.0,0.0
2026-W29,MRL-CB-TAN,store,2,620.0,0.0
2026-W29,MRL-CB-TAN,ecom,1,310.0,0.0
2026-W30,MRL-CB-TAN,store,0,0.0,0.0
2026-W30,MRL-CB-TAN,ecom,0,0.0,0.0
2026-W31,MRL-CB-TAN,store,0,0.0,0.0
2026-W31,MRL-CB-TAN,ecom,0,0.0,0.0
2026-W06,MRL-CB-BLK,store,61,18910.0,0.0
2026-W06,MRL-CB-BLK,ecom,48,14880.0,0.0
2026-W07,MRL-CB-BLK,store,69,21390.0,0.0
2026-W07,MRL-CB-BLK,ecom,49,15190.0,0.0
2026-W08,MRL-CB-BLK,store,73,22630.0,0.0
2026-W08,MRL-CB-BLK,ecom,50,15500.0,0.0
2026-W09,MRL-CB-BLK,store,82,25420.0,0.0
2026-W09,MRL-CB-BLK,ecom,56,17360.0,0.0
2026-W10,MRL-CB-BLK,store,85,26350.0,0.0
2026-W10,MRL-CB-BLK,ecom,55,17050.0,0.0
2026-W11,MRL-CB-BLK,store,74,22940.0,0.0
2026-W11,MRL-CB-BLK,ecom,54,16740.0,0.0
2026-W12,MRL-CB-BLK,store,70,21700.0,0.0
2026-W12,MRL-CB-BLK,ecom,47,14570.0,0.0
2026-W13,MRL-CB-BLK,store,82,25420.0,0.0
2026-W13,MRL-CB-BLK,ecom,56,17360.0,0.0
2026-W14,MRL-CB-BLK,store,67,20770.0,0.0
2026-W14,MRL-CB-BLK,ecom,49,15190.0,0.0
2026-W15,MRL-CB-BLK,store,73,22630.0,0.0
2026-W15,MRL-CB-BLK,ecom,57,17670.0,0.0
2026-W16,MRL-CB-BLK,store,73,22630.0,0.0
2026-W16,MRL-CB-BLK,ecom,49,15190.0,0.0
2026-W17,MRL-CB-BLK,store,83,25730.0,0.0
2026-W17,MRL-CB-BLK,ecom,55,17050.0,0.0
2026-W18,MRL-CB-BLK,store,69,21390.0,0.0
2026-W18,MRL-CB-BLK,ecom,45,13950.0,0.0
2026-W19,MRL-CB-BLK,store,73,22630.0,0.0
2026-W19,MRL-CB-BLK,ecom,54,16740.0,0.0
2026-W20,MRL-CB-BLK,store,65,20150.0,0.0
2026-W20,MRL-CB-BLK,ecom,51,15810.0,0.0
2026-W21,MRL-CB-BLK,store,94,23312.0,0.2
2026-W21,MRL-CB-BLK,ecom,68,16864.0,0.2
2026-W22,MRL-CB-BLK,store,102,25296.0,0.2
2026-W22,MRL-CB-BLK,ecom,81,20088.0,0.2
2026-W23,MRL-CB-BLK,store,97,24056.0,0.2
2026-W23,MRL-CB-BLK,ecom,78,19344.0,0.2
