week,sku,units_on_hand
2026-W06,MRL-CB-TAN,578
2026-W07,MRL-CB-TAN,490
2026-W08,MRL-CB-TAN,389
2026-W09,MRL-CB-TAN,284
2026-W10,MRL-CB-TAN,180
2026-W11,MRL-CB-TAN,94
2026-W12,MRL-CB-TAN,213
2026-W13,MRL-CB-TAN,115
2026-W14,MRL-CB-TAN,213
2026-W15,MRL-CB-TAN,118
2026-W16,MRL-CB-TAN,195
2026-W17,MRL-CB-TAN,100
2026-W18,MRL-CB-TAN,204
2026-W19,MRL-CB-TAN,109
2026-W20,MRL-CB-TAN,194
2026-W21,MRL-CB-TAN,49
2026-W22,MRL-CB-TAN,127
2026-W23,MRL-CB-TAN,4
2026-W24,MRL-CB-TAN,126
2026-W25,MRL-CB-TAN,0
2026-W26,MRL-CB-TAN,150
2026-W27,MRL-CB-TAN,80
2026-W28,MRL-CB-TAN,3
2026-W29,MRL-CB-TAN,0
2026-W30,MRL-CB-TAN,0
2026-W31,MRL-CB-TAN,0
2026-W06,MRL-CB-BLK,731
2026-W07,MRL-CB-BLK,613
2026-W08,MRL-CB-BLK,490
2026-W09,MRL-CB-BLK,352
2026-W10,MRL-CB-BLK,212
2026-W11,MRL-CB-BLK,84
2026-W12,MRL-CB-BLK,645
2026-W13,MRL-CB-BLK,507
2026-W14,MRL-CB-BLK,391
2026-W15,MRL-CB-BLK,261
2026-W16,MRL-CB-BLK,139
2026-W17,MRL-CB-BLK,580
2026-W18,MRL-CB-BLK,466
2026-W19,MRL-CB-BLK,339
2026-W20,MRL-CB-BLK,223
2026-W21,MRL-CB-BLK,61
2026-W22,MRL-CB-BLK,537
2026-W23,MRL-CB-BLK,362
2026-W24,MRL-CB-BLK,186
2026-W25,MRL-CB-BLK,7
2026-W26,MRL-CB-BLK,528
2026-W27,MRL-CB-BLK,443
2026-W28,MRL-CB-BLK,348
2026-W29,MRL-CB-BLK,252
2026-W30,MRL-CB-BLK,164
2026-W31,MRL-CB-BLK,705
2026-W06,MRL-CB-CRM,465
2026-W07,MRL-CB-CRM,382
2026-W08,MRL-CB-CRM,298
2026-W09,MRL-CB-CRM,215
2026-W10,MRL-CB-CRM,126
2026-W11,MRL-CB-CRM,444
2026-W12,MRL-CB-CRM,356
2026-W13,MRL-CB-CRM,280
2026-W14,MRL-CB-CRM,202
2026-W15,MRL-CB-CRM,124
2026-W16,MRL-CB-CRM,49
2026-W17,MRL-CB-CRM,384
2026-W18,MRL-CB-CRM,312
2026-W19,MRL-CB-CRM,233
2026-W20,MRL-CB-CRM,144
2026-W21,MRL-CB-CRM,46
2026-W22,MRL-CB-CRM,390
2026-W23,MRL-CB-CRM,309
2026-W24,MRL-CB-CRM,224
2026-W25,MRL-CB-CRM,138
2026-W26,MRL-CB-CRM,42
2026-W27,MRL-CB-CRM,391
2026-W28,MRL-CB-CRM,312
2026-W29,MRL-CB-CRM,233
2026-W30,MRL-CB-CRM,155
2026-W31,MRL-CB-CRM,70
2026-W06,MRL-CB-OLV,249
2026-W07,MRL-CB-OLV,210
2026-W08,MRL-CB-OLV,169
2026-W09,MRL-CB-OLV,121
2026-W10,MRL-CB-OLV,78
2026-W11,MRL-CB-OLV,32
2026-W12,MRL-CB-OLV,225
2026-W13,MRL-CB-OLV,180
2026-W14,MRL-CB-OLV,134
2026-W15,MRL-CB-OLV,88
2026-W16,MRL-CB-OLV,44
2026-W17,MRL-CB-OLV,209
2026-W18,MRL-CB-OLV,166
2026-W19,MRL-CB-OLV,125
2026-W20,MRL-CB-OLV,79
2026-W21,MRL-CB-OLV,26
2026-W22,MRL-CB-OLV,210
2026-W23,MRL-CB-OLV,160
2026-W24,MRL-CB-OLV,108
2026-W25,MRL-CB-OLV,60
2026-W26,MRL-CB-OLV,209
2026-W27,MRL-CB-OLV,169
2026-W28,MRL-CB-OLV,123
2026-W29,MRL-CB-OLV,78
2026-W30,MRL-CB-OLV,36
2026-W31,MRL-CB-OLV,226
2026-W06,SIE-TT-BLK,415
2026-W07,SIE-TT-BLK,350
2026-W08,SIE-TT-BLK,277
2026-W09,SIE-TT-BLK,203
2026-W10,SIE-TT-BLK,132
2026-W11,SIE-TT-BLK,59
2026-W12,SIE-TT-BLK,365
2026-W13,SIE-TT-BLK,288
2026-W14,SIE-TT-BLK,219
2026-W15,SIE-TT-BLK,148
2026-W16,SIE-TT-BLK,78
2026-W17,SIE-TT-BLK,350
2026-W18,SIE-TT-BLK,274
2026-W19,SIE-TT-BLK,208
2026-W20,SIE-TT-BLK,129
2026-W21,SIE-TT-BLK,18
2026-W22,SIE-TT-BLK,315
2026-W23,SIE-TT-BLK,210
2026-W24,SIE-TT-BLK,104
2026-W25,SIE-TT-BLK,2
2026-W26,SIE-TT-BLK,324
2026-W27,SIE-TT-BLK,273
2026-W28,SIE-TT-BLK,223
2026-W29,SIE-TT-BLK,167
2026-W30,SIE-TT-BLK,118
2026-W31,SIE-TT-BLK,419
2026-W06,SIE-TT-TAN,323
2026-W07,SIE-TT-TAN,266
2026-W08,SIE-TT-TAN,206
2026-W09,SIE-TT-TAN,142
2026-W10,SIE-TT-TAN,79
2026-W11,SIE-TT-TAN,303
2026-W12,SIE-TT-TAN,243
2026-W13,SIE-TT-TAN,185
2026-W14,SIE-TT-TAN,134
2026-W15,SIE-TT-TAN,81
2026-W16,SIE-TT-TAN,265
2026-W17,SIE-TT-TAN,211
2026-W18,SIE-TT-TAN,152
2026-W19,SIE-TT-TAN,100
2026-W20,SIE-TT-TAN,38
2026-W21,SIE-TT-TAN,251
2026-W22,SIE-TT-TAN,194
2026-W23,SIE-TT-TAN,132
2026-W24,SIE-TT-TAN,62
2026-W25,SIE-TT-TAN,244
2026-W26,SIE-TT-TAN,183
2026-W27,SIE-TT-TAN,134
2026-W28,SIE-TT-TAN,73
2026-W29,SIE-TT-TAN,262
2026-W30,SIE-TT-TAN,207
2026-W31,SIE-TT-TAN,151
2026-W06,SIE-TT-NVY,227
2026-W07,SIE-TT-NVY,192
2026-W08,SIE-TT-NVY,150
2026-W09,SIE-TT-NVY,111
2026-W10,SIE-TT-NVY,74
2026-W11,SIE-TT-NVY,36
2026-W12,SIE-TT-NVY,205
2026-W13,SIE-TT-NVY,165
2026-W14,SIE-TT-NVY,126
2026-W15,SIE-TT-NVY,85
2026-W16,SIE-TT-NVY,44
2026-W17,SIE-TT-NVY,189
2026-W18,SIE-TT-NVY,148
2026-W19,SIE-TT-NVY,107
2026-W20,SIE-TT-NVY,69
2026-W21,SIE-TT-NVY,22
2026-W22,SIE-TT-NVY,191
2026-W23,SIE-TT-NVY,148
2026-W24,SIE-TT-NVY,103
2026-W25,SIE-TT-NVY,55
2026-W26,SIE-TT-NVY,14
2026-W27,SIE-TT-NVY,196
2026-W28,SIE-TT-NVY,157
2026-W29,SIE-TT-NVY,118
2026-W30,SIE-TT-NVY,78
2026-W31,SIE-TT-NVY,43
2026-W06,PIP-CL-BLK,264
2026-W07,PIP-CL-BLK,217
2026-W08,PIP-CL-BLK,168
2026-W09,PIP-CL-BLK,122
2026-W10,PIP-CL-BLK,76
2026-W11,PIP-CL-BLK,256
2026-W12,PIP-CL-BLK,209
2026-W13,PIP-CL-BLK,165
2026-W14,PIP-CL-BLK,117
2026-W15,PIP-CL-BLK,70
2026-W16,PIP-CL-BLK,22
2026-W17,PIP-CL-BLK,209
2026-W18,PIP-CL-BLK,168
2026-W19,PIP-CL-BLK,124
2026-W20,PIP-CL-BLK,81
2026-W21,PIP-CL-BLK,31
2026-W22,PIP-CL-BLK,221
2026-W23,PIP-CL-BLK,167
2026-W24,PIP-CL-BLK,114
2026-W25,PIP-CL-BLK,63
2026-W26,PIP-CL-BLK,225
2026-W27,PIP-CL-BLK,182
2026-W28,PIP-CL-BLK,139
2026-W29,PIP-CL-BLK,95
2026-W30,PIP-CL-BLK,49
2026-W31,PIP-CL-BLK,231
