month,sku,target_units,target_revenue,source_document
2026-02,MRL-CB-TAN,407,118599.8,Monthly_Trading_Meeting_2026-02.pdf
2026-03,MRL-CB-TAN,505,147157.0,Monthly_Trading_Meeting_2026-03.pdf
2026-04,MRL-CB-TAN,401,116851.4,Monthly_Trading_Meeting_2026-04.pdf
2026-05,MRL-CB-TAN,481,140163.4,Monthly_Trading_Meeting_2026-05.pdf
2026-06,MRL-CB-TAN,660,192324.0,Monthly_Trading_Meeting_2026-06.pdf
2026-07,MRL-CB-TAN,401,116851.4,Monthly_Trading_Meeting_2026-07.pdf
2026-02,MRL-CB-BLK,515,150071.0,Monthly_Trading_Meeting_2026-02.pdf
2026-03,MRL-CB-BLK,638,185913.2,Monthly_Trading_Meeting_2026-03.pdf
2026-04,MRL-CB-BLK,507,147739.8,Monthly_Trading_Meeting_2026-04.pdf
2026-05,MRL-CB-BLK,608,177171.2,Monthly_Trading_Meeting_2026-05.pdf
2026-06,MRL-CB-BLK,833,242736.2,Monthly_Trading_Meeting_2026-06.pdf
2026-07,MRL-CB-BLK,507,147739.8,Monthly_Trading_Meeting_2026-07.pdf
2026-02,MRL-CB-CRM,334,92932.16,Monthly_Trading_Meeting_2026-02.pdf
2026-03,MRL-CB-CRM,415,115469.6,Monthly_Trading_Meeting_2026-03.pdf
2026-04,MRL-CB-CRM,329,91540.96,Monthly_Trading_Meeting_2026-04.pdf
2026-05,MRL-CB-CRM,354,98496.96,Monthly_Trading_Meeting_2026-05.pdf
2026-06,MRL-CB-CRM,459,127712.16,Monthly_Trading_Meeting_2026-06.pdf
2026-07,MRL-CB-CRM,329,91540.96,Monthly_Trading_Meeting_2026-07.pdf
2026-02,MRL-CB-OLV,180,42300.0,Monthly_Trading_Meeting_2026-02.pdf
2026-03,MRL-CB-OLV,223,52405.0,Monthly_Trading_Meeting_2026-03.pdf
2026-04,MRL-CB-OLV,177,41595.0,Monthly_Trading_Meeting_2026-04.pdf
2026-05,MRL-CB-OLV,191,44885.0,Monthly_Trading_Meeting_2026-05.pdf
2026-06,MRL-CB-OLV,247,58045.0,Monthly_Trading_Meeting_2026-06.pdf
2026-07,MRL-CB-OLV,177,41595.0,Monthly_Trading_Meeting_2026-07.pdf
2026-02,SIE-TT-BLK,300,118440.0,Monthly_Trading_Meeting_2026-02.pdf
2026-03,SIE-TT-BLK,372,146865.6,Monthly_Trading_Meeting_2026-03.pdf
2026-04,SIE-TT-BLK,296,116860.8,Monthly_Trading_Meeting_2026-04.pdf
2026-05,SIE-TT-BLK,355,140154.0,Monthly_Trading_Meeting_2026-05.pdf
2026-06,SIE-TT-BLK,486,191872.8,Monthly_Trading_Meeting_2026-06.pdf
2026-07,SIE-TT-BLK,296,116860.8,Monthly_Trading_Meeting_2026-07.pdf
2026-02,SIE-TT-TAN,232,91593.6,Monthly_Trading_Meeting_2026-02.pdf
2026-03,SIE-TT-TAN,287,113307.6,Monthly_Trading_Meeting_2026-03.pdf
2026-04,SIE-TT-TAN,228,90014.4,Monthly_Trading_Meeting_2026-04.pdf
2026-05,SIE-TT-TAN,245,96726.0,Monthly_Trading_Meeting_2026-05.pdf
2026-06,SIE-TT-TAN,318,125546.4,Monthly_Trading_Meeting_2026-06.pdf
2026-07,SIE-TT-TAN,228,90014.4,Monthly_Trading_Meeting_2026-07.pdf
2026-02,SIE-TT-NVY,163,64352.4,Monthly_Trading_Meeting_2026-02.pdf
2026-03,SIE-TT-NVY,202,79749.6,Monthly_Trading_Meeting_2026-03.pdf
2026-04,SIE-TT-NVY,160,63168.0,Monthly_Trading_Meeting_2026-04.pdf
2026-05,SIE-TT-NVY,173,68300.4,Monthly_Trading_Meeting_2026-05.pdf
